Fecha,S&P500,Comunicaciones,Servicios Públicos,Energético,Inmobiliario,Bienes Consumo Perecederos,Bienes Consumo Duradero,Industrial,Material,Financiero,Tecnológico,Salud
2013-06-11,1626.1300048828125,,27.16070556640625,55.19448471069336,,31.351728439331055,49.74190902709961,35.90570831298828,32.55835723876953,13.243673324584961,27.299055099487305,41.3004264831543
2013-06-12,1612.52001953125,,26.894208908081055,54.855777740478516,,31.197206497192383,49.192256927490234,35.656700134277344,32.39479064941406,13.102141380310059,27.116886138916016,40.88203430175781
2013-06-13,1636.3599853515625,,27.333576202392578,55.77513885498047,,31.521682739257812,50.11423110961914,36.17959976196289,32.99180603027344,13.351509094238281,27.42917251586914,41.51388168334961
2013-06-14,1626.72998046875,,27.36958122253418,55.23594665527344,,31.444427490234375,49.954673767089844,35.93889617919922,32.754634857177734,13.176277160644531,27.220983505249023,41.445579528808594
2013-06-17,1639.0400390625,,27.456005096435547,56.03086471557617,,31.722553253173828,50.2294807434082,36.221092224121094,33.03269577026367,13.304329872131348,27.47254753112793,41.539493560791016
2013-06-18,1651.81005859375,,27.643278121948242,56.34881591796875,,31.838451385498047,50.743656158447266,36.64441680908203,33.17991256713867,13.391947746276855,27.68941307067871,41.88956069946289
2013-06-19,1628.9300537109375,,27.00946044921875,55.83039093017578,,31.204923629760742,50.167415618896484,36.08830642700195,32.92638397216797,13.209976196289062,27.368453979492188,41.22356414794922
2013-06-20,1588.18994140625,,26.24598503112793,54.19912338256836,,30.26235580444336,48.85538864135742,35.26659393310547,32.07582473754883,12.92690372467041,26.761234283447266,40.16480255126953
2013-06-21,1592.4300537109375,,26.588712692260742,54.292179107666016,,30.66206932067871,48.949676513671875,35.288291931152344,31.967042922973633,12.938408851623535,26.59994125366211,40.56108474731445
2013-06-24,1573.0899658203125,,26.566890716552734,53.486507415771484,,30.53765106201172,48.5049934387207,34.695987701416016,31.456098556518555,12.708333015441895,26.277359008789062,40.21798324584961
2013-06-25,1588.030029296875,,26.916160583496094,54.174110412597656,,30.584299087524414,48.940765380859375,35.08808135986328,31.6456356048584,12.945172309875488,26.49531364440918,40.42383575439453
2013-06-26,1603.260009765625,,27.25816535949707,54.50749588012695,,30.90312385559082,49.55442428588867,35.430110931396484,31.793981552124023,13.073744773864746,26.652246475219727,41.007076263427734
2013-06-27,1613.199951171875,,27.316377639770508,54.611663818359375,,31.04311180114746,49.98130798339844,35.780494689941406,31.777498245239258,13.242919921875,26.78302574157715,41.152889251708984
2013-06-28,1606.280029296875,,27.381860733032227,54.38248062133789,,30.848695755004883,50.15917205810547,35.57193374633789,31.60445213317871,13.161717414855957,26.66968536376953,40.83554458618164
2013-07-01,1614.9599609375,,27.039871215820312,54.77141189575195,,31.0742130279541,50.50602340698242,35.9306526184082,31.78574562072754,13.202317237854004,26.809181213378906,40.947044372558594
2013-07-02,1614.0799560546875,,27.032596588134766,54.88948440551758,,31.113096237182617,50.59495544433594,35.54690933227539,31.68684196472168,13.215850830078125,26.85277557373047,40.86125946044922
2013-07-03,1615.4100341796875,,26.93071174621582,54.85477066040039,,31.050872802734375,50.826194763183594,35.56359100341797,31.69508934020996,13.175251960754395,27.009702682495117,40.80122756958008
2013-07-05,1631.8900146484375,,26.850679397583008,55.5353889465332,,31.128650665283203,51.377586364746094,36.122528076171875,31.909343719482422,13.412095069885254,27.18407440185547,41.35874938964844
2013-07-08,1640.4599609375,,27.236328125,55.89657211303711,,31.439706802368164,51.857845306396484,36.22264862060547,32.09065628051758,13.513598442077637,27.166635513305664,41.59032440185547
2013-07-09,1652.3199462890625,,27.432802200317383,56.46607971191406,,31.672992706298828,52.06238555908203,36.731544494628906,32.58512496948242,13.62863826751709,27.271257400512695,41.71040344238281
2013-07-10,1652.6199951171875,,27.58561134338379,56.11881637573242,,31.711870193481445,52.11573791503906,36.72318649291992,32.576866149902344,13.547430992126465,27.358440399169922,41.984867095947266
2013-07-11,1675.02001953125,,28.029478073120117,56.57027816772461,,32.20955276489258,52.862789154052734,37.30716323852539,33.10431671142578,13.676006317138672,27.820514678955078,42.525211334228516
2013-07-12,1680.18994140625,,28.116804122924805,56.8897705078125,,32.21733093261719,53.11182403564453,37.0819206237793,32.98893737792969,13.770742416381836,27.837953567504883,42.78253936767578
2013-07-15,1682.5,,28.575225830078125,56.841156005859375,,32.26399612426758,52.978397369384766,37.21539306640625,33.07133102416992,13.831643104553223,27.91642189025879,42.8254280090332
2013-07-16,1676.260009765625,,28.42241668701172,56.493873596191406,,32.14734649658203,52.69382095336914,37.01516342163086,32.82410430908203,13.777507781982422,27.93385887145996,42.576690673828125
2013-07-17,1680.9100341796875,,28.40787124633789,56.74391174316406,,32.20955276489258,52.72048568725586,37.12363052368164,33.129032135009766,13.838411331176758,27.960018157958984,42.688194274902344
2013-07-18,1689.3699951171875,,28.655269622802734,57.34817123413086,,32.31843185424805,53.02288818359375,37.49903869628906,33.14551544189453,14.021119117736816,27.890256881713867,42.80826187133789
2013-07-19,1692.0899658203125,,28.662553787231445,58.14686965942383,,32.50504684448242,52.978397369384766,37.882774353027344,33.35977554321289,14.027886390686035,27.419469833374023,43.37436294555664
2013-07-22,1695.530029296875,,28.633432388305664,57.95933532714844,,32.4350700378418,52.94283676147461,37.907798767089844,33.39274215698242,14.122621536254883,27.497936248779297,43.58879470825195
2013-07-23,1692.3900146484375,,28.706209182739258,58.05657958984375,,32.37286376953125,52.87168884277344,37.882774353027344,33.49163055419922,14.068490982055664,27.384597778320312,43.43439483642578
2013-07-24,1685.93994140625,,28.269611358642578,57.41068649291992,,32.16289138793945,52.69382095336914,37.590789794921875,33.17847442626953,13.966985702514648,27.56768035888672,43.36578369140625
2013-07-25,1690.25,,28.531572341918945,57.792640686035156,,32.333984375,52.76496505737305,37.607479095458984,33.49163055419922,13.980522155761719,27.585126876831055,43.58020782470703
2013-07-26,1691.6500244140625,,28.633432388305664,57.646812438964844,,32.29509353637695,52.93394088745117,37.48234176635742,33.3680305480957,13.966985702514648,27.663583755493164,43.86324691772461
2013-07-29,1685.3299560546875,,28.68437957763672,57.16759490966797,,32.22510528564453,52.65824890136719,37.38222885131836,33.55754852294922,13.865483283996582,27.6199951171875,43.73459243774414
2013-07-30,1685.9599609375,,28.778974533081055,57.05644607543945,,32.19400405883789,52.52484130859375,37.54073715209961,33.47514343261719,13.858711242675781,27.759490966796875,43.743160247802734
2013-07-31,1685.72998046875,,28.567949295043945,57.24397277832031,,32.18623352050781,52.80054473876953,37.674217224121094,33.35977554321289,13.865483283996582,27.663583755493164,43.760337829589844
2013-08-01,1706.8699951171875,,28.808086395263672,58.17466735839844,,32.45062255859375,53.61872863769531,38.31658935546875,33.60700988769531,14.088786125183105,27.960018157958984,44.034793853759766
2013-08-02,1709.6700439453125,,28.77170181274414,57.91767883300781,,32.4661750793457,54.001163482666016,38.39167404174805,33.796546936035156,14.082021713256836,28.082063674926758,44.05194854736328
2013-08-05,1707.1400146484375,,28.582496643066406,57.778778076171875,,32.48950958251953,53.88554000854492,38.24150848388672,33.705902099609375,14.054956436157227,28.143098831176758,43.99190139770508
2013-08-06,1697.3699951171875,,28.436969757080078,57.424560546875,,32.45062255859375,53.66320037841797,37.957862854003906,33.39274215698242,13.926382064819336,27.994892120361328,43.78604507446289
2013-08-07,1690.9100341796875,,28.567949295043945,57.22314453125,,32.29509353637695,53.19184494018555,37.899471282958984,33.409217834472656,13.831643104553223,27.925138473510742,43.82036590576172
